,STN code,Monitoring Location,Year,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,Conductivity (µmho/cm) - Min,Conductivity (µmho/cm) - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,NitrateN (mg/L) - Min,NitrateN (mg/L) - Max,Fecal Coliform (MPN/100ml) - Min,Fecal Coliform (MPN/100ml) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max,Fecal - Min,Fecal - Max
24,1614,"RIVER BETWA NEAR WATER SUPPLY INTAKE WELL , VIDISHA(M.P)",2022,RIVER,MADHYA PRADESH,17,32,4.7,12.4,6.96,8.25,149,710,1.4,5,2.88,10.44,3,70,120,350,BDL,BDL
25,2107,"RIVER BETWA AT U/S AT MAHUTA GHAT, AGASOD, BINA",2022,RIVER,MADHYA PRADESH,21,31,6,7.5,7.32,8.22,215,551,1.1,1.8,0.33,2.25,2,5.6,27,79,BDL,BDL
26,2108,"RIVER BETWA AT M/S J.P. THERMAL POWER, BINA",2022,RIVER,MADHYA PRADESH,21,31,6.1,7.8,7.36,8.32,216,566,1.1,1.9,0.34,2.11,2,2,26,63,BDL,BDL
27,2124,"RIVER BETWA AT CHARANTIRGHAT, VIDISHA",2022,RIVER,MADHYA PRADESH,5,32,5,13.6,7.32,8.86,164,1056,1.2,20.4,5.2,14.59,3,280,120,1600,BDL,BDL
28,2125,RIVER BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA,2022,RIVER,MADHYA PRADESH,18,32,5.5,13.3,7.08,8.27,154,1094,1.5,16.8,3.02,16.28,6,170,150,1600,BDL,BDL
29,3832,RIVER BETWA AT U/S NEAR ROAD BRIDGE ORCHHA,2022,RIVER,MADHYA PRADESH,22,30,6.6,7.5,7.28,8.38,199,532,1.1,2.1,0.32,0.53,BDL,BDL,22,84,BDL,BDL
30,30080,"RIVER BETWA AT KANJIA ROAD BRIDGE, KANJIA DIST.ASHOK NAGAR (M.P.)",2022,RIVER,MADHYA PRADESH,21.4,32.6,7.9,10.2,7.83,8.14,285,499,1.6,3.3,0.32,1.9,2000,22000,4500,790000,BDL,BDL
31,2953,"RIVER KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",2022,RIVER,RAJASTHAN,21,34,3.7,5.6,7.98,8.46,390,808,1.2,2.2,0.83,2.62,33,84,75,220,23,38
32,2956,"RIVER KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",2022,RIVER,RAJASTHAN,22,34,3.7,5.1,8.15,8.56,485,1445,1.2,2.1,1.71,2.97,23,84,64,210,14,25
33,2951,"RIVER BANAS BISULPUR DAM, TONK, RAJASTHAN",2022,RIVER,RAJASTHAN,17,32,3.7,6.2,8.1,8.55,525,819,1.1,2.1,0.84,3.43,49,110,110,280,17,32
35,2955,"RIVER CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, RAWATBHATA,CHITTORGARH",2022,RIVER,RAJASTHAN,17,31,5,6.6,7.1,8.38,330,682,1.1,3.6,1.21,3.42,90,140,210,280,21,29
36,3309,"RIVER CHAMBAL AT TAL VILLAGE NEAR BRIDGE, UJJAIN",2022,RIVER,MADHYA PRADESH,22,30,6.4,7.7,7.26,8.05,192,2057,2,6,0.66,2.62,6,920,48,1600,2,2
37,4349,"SEA WATER, BAY OF BENGAL, AFTER CONFLUENCE OF MARINE OUTFALL OF M/S.AUROBINDO PHARMA LTD. PYDIBHEEMAVARAM (V), RANASTHALAM (M)",2022,MARINE,ANDHRA PRADESH,21,30,5.2,7.2,7.4,8.4,13800,57300,1.2,2.5,0.32,1.38,3,7,48,120,-,-
38,4352,"SEA WAER BAY OF BENGAL, AFTER CONFLUENCE OF MARINE OUTFALL OF M/S MATRIX LABORATORIES LTD THAMMAYYAPALEM (V) PUSAPATIREGA (M)",2022,MARINE,ANDHRA PRADESH,25,28,5.2,6.6,7.7,8.5,32200,56400,1.4,2.8,0.32,0.88,3,11,39,210,-,-
39,4357,"RUSHIKONDA BEACH,VISAKHAPATNAM",2022,BEACH,ANDHRA PRADESH,25,29,4.8,7,7.7,8.5,31700,55700,1.2,2.9,0.32,1.13,3,14,39,150,-,-
40,4361,"SEA WATER BAY BENGAL, UPPADA BEACH ROAD, KAKINADA",2022,BEACH,ANDHRA PRADESH,25,28,4.5,7.9,7.8,8.5,4800,51400,2.2,2.8,0.42,1.32,3,20,48,150,-,-
41,4362,"SEA WATER, BAY OF BENGAL NEAR DEEP WATER PORT, KAKINADA (1KM AWAY FROM JETTY)",2022,SEA,ANDHRA PRADESH,25,27,5.3,8,7.4,8.4,861,50300,2.2,3.9,0.82,3.32,4,23,75,460,-,-
42,4363,"SEA WATER BAY OF BENGAL NEAR KUMBHABHISHEKAM TEMPALE, KAKINADA",2022,SEA,ANDHRA PRADESH,24,26,5.7,7.5,7.1,8.2,481,47000,2.2,2.8,0.9,4.27,3,21,64,460,-,-
43,4371,"SEA WATER, BAY OF BENGAL AFTER CONFLUENCE OF RIVER VASHISTA GODAVARI AT CHINNAMAINAVARILANKA (V), NARSAPUR (M)",2022,MARINE,ANDHRA PRADESH,22,30,5.1,8,7.8,8.4,7300,51500,1.3,2,0.38,1.15,3,14,49,120,-,-
44,4378,"SEA WATER, BAY OF BENGAL, MANGINAPUDI BEACH, MACHILIPATNAM (V & M)",2022,BEACH,ANDHRA PRADESH,25,27,5.5,6.8,7.5,8,38200,58500,2.4,2.8,0.83,1.82,3,11,75,252,2,4
45,4383,"SEA WATER BAY OF BENGAL, FISHING HARBOUR, NIZAMPATNAM (V & M)",2022,MARINE,ANDHRA PRADESH,22,24,4.6,6.7,7.3,8,26000,56200,2.3,2.9,0.74,1.93,3,13,64,272,2,5
46,4385,"SEA WATER, BAY OF BENGAL, KOTHAPATNAM BEACH",2022,BEACH,ANDHRA PRADESH,22,26,5.1,6.6,7.5,8.3,33120,57680,2.3,2.8,0.72,1.81,3,18,64,354,2,6
47,4386,"SEA WATER, BAY OF BENGAL, VODAREVU BEACH, CHIRALA",2022,BEACH,ANDHRA PRADESH,22,25,5.4,6.7,7.6,8.1,32900,56900,2.6,2.9,0.72,1.66,3,10,75,210,2,5
48,4387,"SEA WATER, BAY OF BENGAL, KRISHNAPATNAM PORT",2022,MARINE,ANDHRA PRADESH,19,21,5.6,6.7,7.2,8,31200,52900,2.4,2.9,0.42,1.53,3,11,64,243,2,4
49,4013,TIRACOL BEACH,2022,BEACH,GOA,28,30,5.9,7.5,7.2,8.3,30500,52560,1,2.3,0.32,2.27,13,350,23,540,5,170
50,4014,MIRAMAR BEACH,2022,BEACH,GOA,28,32,5.9,7.6,7.7,8.5,8856,55850,1,2,0.32,0.38,79,350,110,540,23,94
