iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
IND,2001,56791.85425,31996637.12
IND,2002,47839.02298,26186229.74
IND,2003,43831.0218,24228964.24
IND,2004,66411.42946,36019969.51
IND,2005,56418.57623,31106880.3
IND,2006,61011.71234,32999866.45
IND,2007,67730.81496,36558490.38
IND,2008,78640.77739,42130949.9
IND,2009,74155.04325,39859469.64
IND,2010,47441.78702,26027577.42
IND,2011,83414.64798,44399308.5
IND,2012,88012.04683,47538973.99
IND,2013,75407.13938,41229628.57
IND,2014,132071.8566,71455358.56
IND,2015,109677.6358,60981147.67
IND,2016,164151.4374,92485127.97
IND,2017,179259.8926,102143019.9
IND,2018,125295.2681,69336585.19
IND,2019,115903.91,64725101.79
IND,2020,130854.6034,72810172
IND,2021,125753.2288,72534775.95
IND,2022,114223.9413,65100664.32
IND,2023,136712.84,81054959.82
IND,2024,126043.8391,73624612.3
