iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
IND,2001,4436.454039,3035656.254
IND,2002,8614.823064,5325749.447
IND,2003,8255.75781,4995840.901
IND,2004,14204.21121,8626377.375
IND,2005,11134.37863,6783333.319
IND,2006,11175.42806,6750769.728
IND,2007,12972.41378,7754459.526
IND,2008,16046.57139,9449294.672
IND,2009,13974.1189,8309352.035
IND,2010,9261.233684,5646111.256
IND,2011,13505.18668,7976261.542
IND,2012,15038.39784,8874913.088
IND,2013,11685.94796,7023690.305
IND,2014,18278.69291,10823789.61
IND,2015,17494.32359,10530673.04
IND,2016,24375.37259,14743078.56
IND,2017,23806.38546,14442564.39
IND,2018,15514.72097,9092387.706
IND,2019,14467.80649,8579587.149
IND,2020,16992.87511,9990680.314
IND,2021,18335.03312,10928565.37
IND,2022,16878.25479,9953811.194
IND,2023,17739.40103,10757461.34
IND,2024,18186.29837,10712386.73
