,Temperature,pH,Dissolved_Oxygen,BOD,Nitrate
0,24.5,7.605,8.55,3.2,6.66
1,26,7.77,6.75,1.45,1.29
2,26,7.84,6.95,1.5,1.225
3,18.5,8.09,9.3,10.8,9.895
4,25,7.675,9.4,9.15,9.65
5,26,7.83,7.05,1.6,0.425
6,27,7.985,9.05,2.45,1.11
7,27.5,8.22,4.65,1.7,1.725
8,28,8.355,4.4,1.65,2.34
9,24.5,8.325,4.95,1.6,2.135
10,24,7.74,5.8,2.35,2.315
11,26,7.655,7.05,4,1.64
12,25.5,7.9,6.2,1.85,0.85
13,26.5,8.1,5.9,2.1,0.6
14,27,8.1,5.9,2.05,0.725
15,26.5,8.15,6.2,2.5,0.87
16,26,7.9,6.65,3.05,2.07
17,25,7.65,6.6,2.5,2.585
18,26,8.1,6.55,1.65,0.765
19,26,7.75,6.15,2.6,1.325
20,23,7.65,5.65,2.6,1.335
21,24,7.9,5.85,2.55,1.265
22,23.5,7.85,6.05,2.75,1.19
23,20,7.6,6.15,2.65,0.975
24,29,7.75,6.7,1.65,1.295
25,30,8.1,6.75,1.5,0.35
26,28.5,7.9,6.6,1.45,0.37
27,29,8,6.4,1.55,0.32
28,24.5,7.35,2.35,16,5.3
29,27.5,7.8,5.5,1.95,0.6
30,26,7.35,5.2,3.8,1.6
31,29,6.5,6.2,1.35,0.55
32,28.5,6.65,6.3,1.5,0.95
33,28,7.25,5.85,1.5,0.45
34,28.5,7.3,7.35,4.65,1.7
35,27.5,8.1,8,5.5,1.8
36,27.5,7.3,5.4,2.2,1.4
37,25,7.1,5.3,3.9,0.9
38,25,7.25,4.9,2.55,1.6
39,20.5,7,5.45,2.4,0.9
40,23,7.1,6.15,2.3,1.3
41,27.5,7.25,6.5,2.3,0.75
42,25.5,7.05,6.25,2.2,1
43,28.5,7.4,3.25,23.6,2.8
44,28.5,7.25,5.3,2.35,0.85
45,25,6.9,7.4,2.3,1.15
46,24,7.35,7.25,2.25,0.9
47,23,6.9,4.75,2.4,1.25
48,22.5,7.05,6.05,2.2,1.2
49,30,7.1,5.6,2.2,0.95
50,27.5,7.25,6.1,2.35,1.65
51,25,7.05,5.4,2.25,1.15
52,27,7.4,7.3,2.15,1
53,24,7.25,2.45,14.9,1.35
54,22,7.05,5.7,2.4,0.95
55,24.5,7.25,0.7,20.2,3.15
56,21,7.05,4.85,2.45,0.9
57,25,7.25,6.3,2.25,1.35
58,28,7.3,8.5,2.3,1.15
59,27,7.15,6.55,2.35,0.95
60,28.5,7.3,6.75,2.45,0.8
61,28,8.05,7.55,2.55,1.1
62,28.5,7.45,7.75,2.3,1.1
63,28.5,7.1,6.25,2.15,1.1
64,25.5,7.2,7.05,2.35,1.15
65,28,7.1,6.9,2.4,0.85
66,27,7.15,7.15,2.25,1.3
67,26,7.25,6.35,2.2,0.8
68,25.5,7.35,6.35,2.45,2.85
69,28.5,7.25,5.2,2.15,1.2
70,28.5,7.05,6.6,2.35,0.85
71,27,7.25,7,2.45,1.1
72,30.5,7.2,5.25,2.25,1.35
73,28.5,7.15,5.25,2.3,1.25
74,29.5,7.4,6.6,2.35,1
75,23,6.85,5.65,2.6,0.9
76,27.5,7.2,6.55,2.4,0.95
77,26,7.2,6.75,2.5,1.2
78,28,7.15,6.65,2.2,0.85
79,29,7,6.4,2.3,0.95
